objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,istinsah_yeri,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu,,
babinger_0039,Hamzanâme,1403,record,Ahmed Said Sözen,Hamzanâme,14-15,I. Bayezid,Hamzavî,1413,,805,1403,1403,,,,Manzum,,,,,,,,,,Paris Milli Kütüphanesi,or. 344,,48.83393323,2.375792984,Fransa,Paris,,,Hz. Peygamber sav'in dayısı Hz. Hamza'ya ait menkıbeler,,,,
babinger_0040,Câmi ül-meknûnât,,record,Ahmed Said Sözen,Câmi ül-meknûnât,14-15,,Hamzavî,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,Kafiyeli bir Osmanlı tarihidir. Bayezid'in son zamanlarına ait olayları içermektedir.,,,,
babinger_0041,Çenknâme,,record,Ahmed Said Sözen,Çenknâme,15-16,,Ahmedî Dâ'î,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,Kendisi ile kardeşleri arasında geçen kavgalarını şairane bir şekilde anlatmıştır.,Nüshaları Babinger'e göre kayıptır.,,,
babinger_0042,Ferahnâme,,record,Ahmed Said Sözen,Ferahnâme,15-16,,Ahmedî Dâ'î,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nüshaları Babinger'e göre kayıptır. Nüshaları bulunamamıştır.,,,
babinger_0043,Dürer fi'l-havâdis ve'l-siyer (vefayât alâ tertib el-a'vâm),1431,record,Ahmed Said Sözen,Dürer fi'l-havâdis ve'l-siyer (vefayât alâ tertib el-a'vâm),18-20,II. Murad,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,835,835 (1431),1431,,Arapça,,,,,,,,,,,,Leiden Üniversitesi Kütüphanesi,Nu. 769 (Dürer fi'lhavâdis),,52.15741031,4.481427,Hollanda,Leiden,,Hz. Peygamber sav'den-700 (1300)'e kadar,Hz. Peygamber (sav)'den 1300'lere kadar yaşamış olan kişiler anlatılmaktadır.,,,,
babinger_0044,Adsız Biyografya Eseri,1436,record,Ahmed Said Sözen,Adsız Biyografya Eseri,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,840,840 (1436),1436,,Arapça,,,,,,,,,,,,Gotha Kütüphanesi,Nu. 1738 (Biyografya),,50.94788471,10.70937885,Almanya,Gotha,,,Alimlerin biyografileri. Taberî ve Cevherî'nin Biyografileri ile nihayet bulmuştur.,,,,
babinger_0045,Tavzîhu Menâhici’l-Envâr ve Tenkîhu Mebâhici’l-Ezhâr,1435,record,Ahmed Said Sözen,Tavzîhu Menâhici’l-Envâr ve Tenkîhu Mebâhici’l-Ezhâr,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,839,839 (1435),1435,,Arapça,,,,,,,,,,,,British Museum,suppl. 481 (Tavzih),,51.51953386,-0.1269388205,İngiltere,Londra,,,Harflerin noktalarına göre muhtelif manalar alan kelimelerden bahsetmektedir.,,Bu esere ilişkin ikincil kaynaklarda bilgi bulunmamaktadır,,
babinger_0046,Nazmü’s-sülûk,,record,Ahmed Said Sözen,Nazmü’s-sülûk,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,,,,,Arapça,,,,,,,,,,,,Ayasofya,Nu. 3503 (Nazm elsülûk),Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,Hz. Peygamber (sav)'den-806 (1403)'e kadar,Özet bir tarihi eser,,,,
babinger_0047,el-tevârîh el-latîfe ve’l-âsâr el-acîbe,1432,record,Ahmed Said Sözen,el-tevârîh el-latîfe ve’l-âsâr el-acîbe,18-20,,Abdurrahmân b. Muhammed b. Alî b. Ahmed el-Bistâmî,1454,,836,826 (1432),1432,,Arapça,,,,,,,,,,,,,,,,,,,,,,,,,
babinger_0048,Târîh-i Âl-i Osman,,record,Ahmed Said Sözen,Târîh-i Âl-i Osman,20,II. Mehmed,Mehmed Emîn İbn Hâccî Halîl,,,,,,,Farsça,,,,,,,,,,,,,,,,,Fransa,Paris,,II. Mehmed'in emri ile başlamış ancak II. Bayezid döneminde bitirmiş olduğu tarih eseridir.,Osmanlı hanedanın tarihi. Öncesinde Rum Selçuklularından kısaca bahsetmektedir.,,,,
babinger_0049,Behçetül-tevârîh,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,,Viyana Milli Kütüphanesi,Nu. 828,,48.20638245,16.36692749,Avusturya,Viyana,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,,,
babinger_0050,Behçetül-tevârîh,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,,British Museum,Nu. or. 1627,,51.51953386,-0.1269388205,İngiltere,Londra,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,,,
babinger_0051,Behçetül-tevârîh,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 90,,48.83393323,2.375792984,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,,,
babinger_0052,Behçetül-tevârîh,1457,record,Ahmed Said Sözen,Behçetül-tevârîh,20-22,,Şükrullâh b. Şıhabeddîn Ahmed,1488,,861,861 (1457),1457,,,,,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 91,,48.83393323,2.375792984,Fransa,Paris,,,Mücmel dünya tarihidir. 13 bölümden oluşan eseri 8.bölümünde Fatih Sultan Mehmed'in tahta çıkmasına kadar olan Osmanlı tarihinden bahsedilmektedir.,Günümüzde kaybolmuş durumda olan coğrafi eserlerden de bahsettiği için coğrafya bakımından da değerli olduğu kabul edilmektedir.,,,
